Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C4, C5, C6, C7",0603,8,100nF,C14663
C10,0603,1,10uF,C96446
C8,0805,1,100nF,C28233
C9,CP_Elec_6.3x5.9,1,100uF,C178540
D1,0603,1,FDC,C2286
J3,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,VGA,C711364
J5,SD_Card_Holder_SMD_WQ21801-B2180-7F,1,Micro_SD_Card_Det1,C266620
Q1,SOT-23,1,DMG2305UX,C150470
"R1, R2, R3",0603,3,3K3,C22978
"R10, R11, R17, R18, R8, R9",0603,6,47R,C23182
R12,0603,1,470R,C23179
"R13, R14, R15, R16",0603,4,270R,C22966
R19,0603,1,150R,C22775
"R4, R7",0603,2,10K,C25804
SW1,SW_SPST_TL3305A,1,RESET,C455245
"U1, U7",SOIC-14_3.9x8.7mm_P1.27mm,2,LVC04,C485074
U2,SOT-23-5_HandSoldering,1,74LVC1G38,C2867613
"U3, U4",SOIC-20W_7.5x12.8mm_P1.27mm,2,74LVC541,C2652110
U5,SOIC-20W_7.5x12.8mm_P1.27mm,1,74LVC245,C571201
U6,SOT-23-6_Handsoldering,1,74LVC1G27,C128410
