Designator,Mid X,Mid Y,Rotation,Layer
C1,121.7,-145.08,0.0,top
C10,88.8475,-105.75,0.0,top
C11,88.8475,-107.21,0.0,top
C2,145.18,-142.03,180.0,top
C3,61.75,-139.8675,270.0,top
C4,82.05,-139.8675,270.0,top
C5,118.26,-150.03,180.0,top
C6,145.18,-137.82,180.0,top
C7,134.45,-104.78,180.0,top
C8,144.62,-151.54,90.0,top
C9,149.15,-148.43,90.0,top
D1,103.3975,-91.94,180.0,top
J3,141.565,-93.87,180.0,top
J5,88.66,-103.45,180.0,top
Q1,155.63,-136.4525,270.0,top
R1,137.9,-151.88,270.0,top
R10,116.26,-136.1,270.0,top
R11,93.01,-106.6775,90.0,top
R12,121.52,-101.66,0.0,top
R13,121.52,-104.4,0.0,top
R14,135.4625,-98.94,180.0,top
R15,135.4625,-100.4,180.0,top
R16,135.4625,-101.86,180.0,top
R17,135.4625,-103.32,180.0,top
R18,132.8775,-143.12,180.0,top
R19,103.3975,-95.13,0.0,top
R2,118.25,-151.5,0.0,top
R3,122.56,-148.18,90.0,top
R4,88.845,-108.67,0.0,top
R7,108.6375,-136.1,270.0,top
R8,111.18,-136.1,270.0,top
R9,118.8,-136.1,270.0,top
SW1,127.9,-138.17,0.0,top
U1,128.16,-147.555,90.0,top
U2,141.13,-142.98,0.0,top
U3,69.65,-145.38,90.0,top
U4,89.65,-145.38,90.0,top
U5,109.65,-145.38,270.0,top
U6,141.13,-137.82,0.0,top
U7,128.16,-101.94,270.0,top
